time,temperature,vibration,pressure,failure_warning,failure
0,70.99342830602247,20.348286247666817,90.09714016219797,0.0,0.0
1,69.72347139765763,20.283323592535666,94.72507176531565,0.0,0.0
2,71.29537707620139,19.063480154194508,97.06485796853707,0.0,0.0
3,73.04605971281605,20.57958422176374,100.74834455462346,0.0,0.0
4,69.53169325055333,18.50991732442338,105.12081163303439,0.0,0.0
5,69.53172608610164,19.34581567423967,103.47067971685883,0.0,0.0
6,73.15842563101478,18.00091218710219,94.10337600776258,0.0,0.0
7,71.53486945830582,21.558626516962814,98.14143868917174,0.0,0.0
8,69.0610512281301,19.768450506054705,100.38187794351283,0.0,0.0
9,71.08512008717193,22.166884034816313,98.6889643777675,0.0,0.0
10,69.07316461437507,20.802949926519496,98.65352387065853,0.0,0.0
11,69.06854049285948,20.448098213351024,91.38628337672864,0.0,0.0
12,70.48392454313206,19.413772305719,94.2363292443018,0.0,0.0
13,66.1734395106844,18.95364996431258,97.98530075430364,0.0,0.0
14,66.55016433497393,20.522971573896946,84.53387162527419,0.0,0.0
15,68.87542494151805,19.92848599072702,103.20322160004928,0.0,0.0
16,67.97433775933115,18.6607296845147,93.13660450144465,0.0,0.0
17,70.62849466519054,18.48314158349168,103.43419066632569,0.0,0.0
18,68.18395184895758,19.041296270856417,102.99458002235455,0.0,0.0
19,67.17539259732942,21.82096722526623,97.28153478443808,0.0,0.0
20,72.93129753784311,22.213277918011304,105.00274162850769,0.0,0.0
21,69.54844739902693,20.20498914730891,103.71598672462467,0.0,0.0
22,70.13505640937585,20.14894279624129,98.4551926458268,0.0,0.0
23,67.15050362757309,19.663679628170478,97.89120192404151,0.0,0.0
24,68.91123455094963,19.0655146516905,105.48616392832179,0.0,0.0
25,70.22184517941973,21.375179057607244,101.16006919703833,0.0,0.0
26,67.69801284515539,21.873576393897135,105.22348584184071,0.0,0.0
27,70.75139603669135,19.106580914160716,88.05512962823632,0.0,0.0
28,68.7987226201624,19.9171616215754,100.49242548509731,0.0,0.0
29,69.41661250041345,19.550133699289834,92.11295456515313,0.0,0.0
30,68.7965867755412,19.579760925135023,99.87105746256618,0.0,0.0
31,73.70455636901788,21.18590825542986,103.56910104172943,0.0,0.0
32,69.97300555052414,18.68803845463388,108.69570072874552,0.0,0.0
33,67.8845781420882,20.466469690936307,95.30916635781406,0.0,0.0
34,71.64508982420638,20.728238107305867,97.37147597349008,0.0,0.0
35,67.55831270005795,19.857848826398182,99.52233546462232,0.0,0.0
36,70.41772719000951,20.893067826986773,95.12734449269055,0.0,0.0
37,66.08065975224045,20.14765184053745,104.89279864394629,0.0,0.0
38,67.34362790220314,21.21712992115611,99.64952727317188,0.0,0.0
39,70.39372247173824,18.477794695074145,100.60978511688023,0.0,0.0
40,71.47693315999082,19.65122473899313,103.1008656338708,0.0,0.0
41,70.34273656237994,19.928186857148965,99.64144241812295,0.0,0.0
42,69.76870343522351,17.32779261552865,95.91230435912067,0.0,0.0
43,69.39779260882142,18.914047266421466,99.68489880850767,0.0,0.0
44,67.04295601926515,19.186400745641215,95.71909320243306,0.0,0.0
45,68.56031158321058,20.94820599482335,100.53990444558244,0.0,0.0
46,69.07872245808042,19.2931566536854,104.98468860400898,0.0,0.0
47,72.11424445243783,19.181921012694023,94.12510853863834,0.0,0.0
48,70.68723657913692,20.81748578065619,92.33814499278954,0.0,0.0
49,66.47391968927454,18.382089354209945,100.24624967959836,0.0,0.0
50,70.64816793878958,17.928755932556427,96.16100191628047,0.0,0.0
51,69.22983543916737,19.638407699930653,100.15872637205985,0.0,0.0
52,68.64615599938809,18.552293231921645,101.60201760304851,0.0,0.0
